NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio,avg_cost_per_procedure,verification_delay_days,duplicate_ID_count,duplicate_ID_count_month,time_between_admissions,num_claims_last_30d_by_provider,num_unique_patients_last_30d,provider_claim_rate_vs_peer,claim_rejection_rate_provider,year_month,month_over_month_claim_growth,sudden_spike_flag,new_provider_month_flag,avg_claim_per_patient,claim_fragmentation,claim_fragmentation_score,service_mix_index,provider_id_default,fraud_score,los_anomaly_flag,provider_balance_score,fraud_label
2604333305974245,1,0,67,M,RS006,I25.1,36.15,3,4,4,6027402,2025-04-02,2025-11-20,manual,5000000,1.2054804,1506850.5,232,1,0,191.0,125,92,0.9113429635844886,0.0978131891183088,2025-11,0.0568181818181818,0,0,65515.239130434784,0,0,4.188377225684983,RS006,28.0,0,0,NORMAL
6379934521063271,1,0,90,M,RS006,K21.0,45.16,1,4,1,6816124,2025-11-03,2025-11-20,manual,1400000,4.86866,1704031.0,17,5,0,159.0,125,92,0.9113429635844886,0.0738383388680366,2025-11,0.0568181818181818,0,0,74088.30434782608,0,0,4.188377225684983,RS006,67.0,0,0,HIGH
6572686086269573,1,0,27,M,RS006,Z00.0,93.99,2,2,0,444877,2025-10-16,2025-11-20,auto,700000,0.6355385714285714,222438.5,35,4,0,84.0,125,92,0.9113429635844886,0.1445329617903978,2025-11,0.0568181818181818,0,0,4835.619565217391,0,0,4.188377225684983,RS006,34.0,0,2,NORMAL
7891369268522838,1,1,11,M,RS006,A09,45.23,1,2,1,4603216,2025-10-30,2025-11-20,manual,1300000,3.5409353846153846,2301608.0,21,2,1,6.0,125,92,0.9113429635844886,0.0903447972342498,2025-11,0.0568181818181818,0,0,50034.95652173913,1,1,4.188377225684983,RS006,39.0,0,0,NORMAL
9062114375400145,1,1,84,M,RS006,J00,93.9,1,2,1,713018,2025-11-06,2025-11-20,manual,500000,1.426036,356509.0,14,5,0,83.0,125,92,0.9113429635844886,0.09866163741027,2025-11,0.0568181818181818,0,0,7750.195652173913,0,0,4.188377225684983,RS006,12.0,0,0,NORMAL
2917771809959023,1,0,85,M,RS007,M54.5,93.39,3,1,0,8175149,2025-10-30,2025-11-20,auto,1800000,4.541749444444444,8175149.0,21,3,0,66.0,138,102,1.0592012001907063,0.1196251377036048,2025-11,-0.2627118644067796,0,0,80148.51960784313,0,0,4.175275247137288,RS007,67.0,0,0,HIGH
7163833719859006,1,1,47,F,RS007,A09,45.23,3,1,4,7698164,2025-10-21,2025-11-20,manual,1300000,5.921664615384615,7698164.0,30,3,0,115.0,138,102,1.0592012001907063,0.0728341497546224,2025-11,-0.2627118644067796,0,0,75472.19607843137,0,0,4.175275247137288,RS007,47.0,0,0,MEDIUM
7298604563706276,1,1,47,F,RS007,Z00.0,93.99,2,1,2,1890291,2025-08-11,2025-11-20,auto,700000,2.700415714285714,1890291.0,101,5,0,33.0,138,102,1.0592012001907063,0.1343789072323908,2025-11,-0.2627118644067796,0,0,18532.264705882357,0,0,4.175275247137288,RS007,37.0,0,0,NORMAL
4584752425555813,1,1,76,F,RS008,E66.9,99.28,2,2,2,8475799,2024-01-11,2025-11-20,auto,1000000,8.475799,4237899.5,679,2,0,104.0,135,112,1.104849771616958,0.0222059868110106,2025-11,-0.1495327102803738,0,0,75676.77678571429,0,0,4.187444153526895,RS008,43.0,0,0,MEDIUM
5566322886144574,1,1,10,M,RS008,Z34.0,73.0,3,4,1,3455912,2025-10-08,2025-11-20,manual,800000,4.31989,863978.0,43,1,1,16.0,135,112,1.104849771616958,0.1448476807008769,2025-11,-0.1495327102803738,0,0,30856.35714285714,0,0,4.187444153526895,RS008,43.0,0,0,MEDIUM
9012284994626430,1,1,76,M,RS004,Z34.0,73.0,2,2,2,6529340,2025-10-21,2025-11-20,manual,800000,8.161675,3264670.0,30,4,0,45.0,146,111,1.0020465598775556,0.0441976667079352,2025-11,0.0566037735849056,0,0,58822.882882882885,0,0,4.144682110587729,RS004,47.0,0,0,MEDIUM
