NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio,avg_cost_per_procedure,verification_delay_days,duplicate_ID_count,duplicate_ID_count_month,time_between_admissions,num_claims_last_30d_by_provider,num_unique_patients_last_30d,provider_claim_rate_vs_peer,claim_rejection_rate_provider,year_month,month_over_month_claim_growth,sudden_spike_flag,new_provider_month_flag,avg_claim_per_patient,claim_fragmentation,claim_fragmentation_score,service_mix_index,provider_id_default,fraud_label
0285322132812752,1,1,27,F,RS005,J45.9,93.96,3,3,0,2006842,2024-01-13,2024-01-17,manual,2300000,0.87254,668947.3333333334,4,6,0,0.0,1,1,1.0680975958504708,0.0460366623227913,2024-01,0.0,0,1,2006842.0,0,0,4.221995428937814,RS005,NORMAL
7251822732631399,1,0,3,M,RS006,H25.9,13.1,1,2,0,8562782,2024-01-11,2024-01-20,auto,7500000,1.1417042666666666,4281391.0,9,4,0,0.0,1,1,0.9368320528657004,0.1487431994931742,2024-01,0.0,0,1,8562782.0,0,0,4.176435992934502,RS006,MEDIUM
7541578413730750,0,1,70,F,RS005,R50.9,99.19,1,2,0,9024008,2024-01-10,2024-01-22,auto,1000000,9.024008,4512004.0,12,4,0,0.0,2,2,1.0680975958504708,0.1001818690208303,2024-01,0.0,0,1,4512004.0,0,0,4.221995428937814,RS005,HIGH
2693409025539426,1,1,44,F,RS004,R50.9,99.19,1,3,0,1874756,2024-01-23,2024-01-26,manual,1000000,1.874756,624918.6666666666,3,5,0,0.0,1,1,1.1389042610267026,0.0508663508887248,2024-01,0.0,0,1,1874756.0,0,0,4.188037474678279,RS004,NORMAL
7233946956374854,1,1,50,F,RS009,I25.1,99.24,1,1,3,9918327,2024-01-15,2024-01-27,manual,5000000,1.9836654,9918327.0,12,2,0,0.0,1,1,1.0155684623586911,0.0840939162706443,2024-01,0.0,0,1,9918327.0,0,0,4.197279633467612,RS009,NORMAL
9188980948286496,0,1,17,F,RS002,I25.1,36.15,1,4,4,2230173,2024-01-12,2024-01-30,auto,5000000,0.4460346,557543.25,18,3,0,0.0,1,1,1.0391230455674134,0.0472877271024261,2024-01,0.0,0,1,2230173.0,0,0,4.200547839995615,RS002,NORMAL
1948015858157296,1,1,60,M,RS006,Z00.0,93.99,3,2,0,2280621,2024-01-05,2024-01-31,auto,700000,3.25803,1140310.5,26,1,0,0.0,2,2,0.9368320528657004,0.0233500478393656,2024-01,0.0,0,1,1140310.5,0,0,4.176435992934502,RS006,MEDIUM
7196613456778908,1,1,18,F,RS003,Z03.8,93.91,3,3,0,6951180,2024-01-30,2024-02-05,manual,1200000,5.79265,2317060.0,6,5,0,0.0,1,1,0.8457919841544634,0.0925118442581032,2024-02,0.0,1,1,6951180.0,0,0,4.217898747374582,RS003,MEDIUM
2288138832112223,1,0,72,M,RS010,K29.7,45.16,1,2,2,8484967,2024-01-09,2024-02-12,manual,1700000,4.9911570588235294,4242483.5,34,3,0,0.0,1,1,0.8937543008399227,0.1389174127345958,2024-02,0.0,1,1,8484967.0,0,0,4.194546355512187,RS010,HIGH
5098979179636566,0,1,12,M,RS002,N39.0,57.94,2,4,0,8984575,2024-01-24,2024-02-12,auto,2200000,4.083897727272728,2246143.75,19,3,0,0.0,2,2,1.0391230455674134,0.1367470576272927,2024-02,3.0,0,0,4492287.5,0,0,4.200547839995615,RS002,HIGH
4412476244484100,1,1,4,F,RS006,N39.0,57.98,1,3,0,4579316,2024-01-11,2024-02-17,manual,2200000,2.0815072727272725,1526438.6666666667,37,5,0,0.0,3,3,0.9368320528657004,0.0984587448451457,2024-02,-0.5,0,0,1526438.6666666667,0,0,4.176435992934502,RS006,NORMAL
2549436835722058,1,1,28,F,RS003,N39.0,57.94,1,3,0,3167687,2024-02-14,2024-02-19,manual,2200000,1.439857727272727,1055895.6666666667,5,4,0,0.0,2,2,0.8457919841544634,0.114984566331102,2024-02,0.0,1,1,1583843.5,0,0,4.217898747374582,RS003,NORMAL
4207896064408625,1,1,20,M,RS005,R50.9,99.19,2,2,2,4479099,2024-01-05,2024-02-19,auto,1000000,4.479099,2239549.5,45,4,0,0.0,3,3,1.0680975958504708,0.116574594176832,2024-02,0.5,0,0,1493033.0,0,0,4.221995428937814,RS005,MEDIUM
7052530558642372,1,0,9,F,RS005,Z34.0,73.0,1,3,2,6661461,2024-02-01,2024-02-19,manual,800000,8.32682625,2220487.0,18,6,0,0.0,3,3,1.0680975958504708,0.1159292611360233,2024-02,0.5,0,0,2220487.0,0,0,4.221995428937814,RS005,HIGH
9310857938702230,1,1,60,M,RS001,A09,45.23,1,4,4,7323632,2024-02-05,2024-02-19,auto,1300000,5.633563076923077,1830908.0,14,6,0,0.0,1,1,1.131614360602141,0.0686902154501571,2024-02,0.0,1,1,7323632.0,0,0,4.185516708138293,RS001,HIGH
6462214513185217,1,1,14,M,RS002,H25.9,13.1,1,2,0,9622080,2024-02-17,2024-02-22,manual,7500000,1.282944,4811040.0,5,7,0,0.0,3,3,1.0391230455674134,0.0466681532626609,2024-02,3.0,0,0,3207360.0,0,0,4.200547839995615,RS002,NORMAL
8154295045098397,1,1,34,F,RS007,Z34.0,73.0,1,1,2,7451896,2024-01-13,2024-02-22,manual,800000,9.31487,7451896.0,40,3,0,0.0,1,1,0.90376814931519,0.1428531283954739,2024-02,0.0,1,1,7451896.0,0,0,4.2002148790873735,RS007,HIGH
2291642173917775,0,1,75,F,RS002,I25.1,36.15,1,1,3,9884585,2024-01-31,2024-02-23,manual,5000000,1.976917,9884585.0,23,3,0,0.0,4,4,1.0391230455674134,0.0447894036862766,2024-02,3.0,0,0,2471146.25,0,0,4.200547839995615,RS002,MEDIUM
3385727074198254,1,1,13,M,RS005,E11,99.1,2,3,1,9411113,2024-02-19,2024-02-24,auto,2500000,3.7644452,3137037.6666666665,5,1,0,0.0,3,3,1.0680975958504708,0.0877883731416944,2024-02,0.5,0,0,3137037.6666666665,0,0,4.221995428937814,RS005,MEDIUM
6799403522212861,1,1,70,M,RS001,O80,72.0,1,3,4,7704773,2024-01-06,2024-02-26,manual,3500000,2.2013637142857143,2568257.6666666665,51,4,0,0.0,2,2,1.131614360602141,0.1435928598332891,2024-02,0.0,1,1,3852386.5,0,0,4.185516708138293,RS001,NORMAL
6783988416654665,1,1,73,M,RS009,H25.9,13.4,3,2,0,3258710,2024-01-20,2024-02-27,auto,7500000,0.4344946666666666,1629355.0,38,3,0,0.0,1,1,1.0155684623586911,0.0306519970749589,2024-02,0.0,0,0,3258710.0,0,0,4.197279633467612,RS009,NORMAL
6525350322602392,1,1,28,M,RS007,R50.9,99.19,3,3,0,7552345,2024-01-23,2024-02-28,manual,1000000,7.552345,2517448.333333333,36,5,0,0.0,2,2,0.90376814931519,0.1087302622397304,2024-02,0.0,1,1,3776172.5,0,0,4.2002148790873735,RS007,MEDIUM
6875639298000694,1,0,1,M,RS001,R50.9,99.19,2,3,2,995028,2024-01-18,2024-02-28,manual,1000000,0.995028,331676.0,41,3,0,0.0,3,3,1.131614360602141,0.1151592124354826,2024-02,0.0,1,1,331676.0,0,0,4.185516708138293,RS001,MEDIUM
2131451356655480,1,1,60,M,RS004,O80,72.0,1,1,2,5664741,2024-02-23,2024-02-29,manual,3500000,1.6184974285714286,5664741.0,6,5,0,0.0,1,1,1.1389042610267026,0.0866072910809527,2024-02,0.0,0,0,5664741.0,0,0,4.188037474678279,RS004,NORMAL
1505840257036345,1,1,34,F,RS002,K21.0,45.16,3,2,0,4653180,2024-01-01,2024-02-29,auto,1400000,3.3237,2326590.0,59,4,0,0.0,4,4,1.0391230455674134,0.0247514568202523,2024-02,3.0,0,0,1163295.0,0,0,4.200547839995615,RS002,MEDIUM
0448266963509804,0,1,52,F,RS005,H25.9,13.4,2,1,0,9165067,2024-01-08,2024-03-04,auto,7500000,1.2220089333333333,9165067.0,56,3,0,0.0,4,4,1.0680975958504708,0.0288996335133651,2024-03,0.3333333333333332,0,0,2291266.75,0,0,4.221995428937814,RS005,NORMAL
3705483788553762,1,1,8,F,RS007,R50.9,99.19,3,1,1,3924764,2024-02-13,2024-03-04,auto,1000000,3.924764,3924764.0,20,3,0,0.0,3,3,0.90376814931519,0.0631101903840184,2024-03,0.5,0,0,1308254.6666666667,0,0,4.2002148790873735,RS007,MEDIUM
4773352549521454,0,1,52,M,RS009,Z34.0,73.0,1,1,2,9375441,2024-01-27,2024-03-04,auto,800000,11.71930125,9375441.0,37,6,0,0.0,2,2,1.0155684623586911,0.045477424011229,2024-03,5.0,0,0,4687720.5,0,0,4.197279633467612,RS009,HIGH
0853312808902937,1,0,21,F,RS005,E66.9,99.28,2,3,2,4953744,2024-02-26,2024-03-05,auto,1000000,4.953744,1651248.0,8,3,0,0.0,5,5,1.0680975958504708,0.0682446819959166,2024-03,0.3333333333333332,0,0,990748.8,0,0,4.221995428937814,RS005,HIGH
2849295304957500,1,1,47,F,RS008,I25.1,36.15,1,1,3,2629871,2024-01-11,2024-03-05,auto,5000000,0.5259742,2629871.0,54,4,0,0.0,1,1,1.0265457874193042,0.1353651895981468,2024-03,0.0,1,1,2629871.0,0,0,4.132381893114696,RS008,NORMAL
1932837844152572,1,1,80,M,RS001,A09,45.23,2,1,0,6761354,2024-02-14,2024-03-05,auto,1300000,5.2010415384615385,6761354.0,20,4,0,0.0,4,4,1.131614360602141,0.0978256029456147,2024-03,1.0,0,0,1690338.5,0,0,4.185516708138293,RS001,MEDIUM
0858583419393429,1,0,31,M,RS006,A09,45.23,3,4,2,4991945,2024-02-21,2024-03-07,manual,1300000,3.839957692307692,1247986.25,15,6,0,0.0,2,2,0.9368320528657004,0.1057357776146725,2024-03,2.0,0,0,2495972.5,0,0,4.176435992934502,RS006,HIGH
9389866854122713,1,1,55,M,RS007,Z03.8,93.91,2,3,0,5661077,2024-02-29,2024-03-11,auto,1200000,4.717564166666667,1887025.6666666667,11,3,0,0.0,4,4,0.90376814931519,0.085075311266008,2024-03,0.5,0,0,1415269.25,0,0,4.2002148790873735,RS007,MEDIUM
0696230795231362,1,1,62,M,RS003,E11,99.1,2,2,2,7789495,2024-01-12,2024-03-14,manual,2500000,3.115798,3894747.5,62,4,0,0.0,2,2,0.8457919841544634,0.0804767295968833,2024-03,0.5,0,0,3894747.5,0,0,4.217898747374582,RS003,MEDIUM
2225364991885311,1,1,48,M,RS001,I25.1,36.15,2,4,3,3894175,2024-01-04,2024-03-14,manual,5000000,0.778835,973543.75,70,3,0,0.0,5,5,1.131614360602141,0.0402824232575167,2024-03,1.0,0,0,778835.0,0,0,4.185516708138293,RS001,NORMAL
5379318419097792,1,0,12,F,RS002,Z34.0,73.0,2,4,3,2863222,2024-02-09,2024-03-14,manual,800000,3.5790275,715805.5,34,1,0,0.0,4,4,1.0391230455674134,0.0813687028642999,2024-03,0.0,0,0,715805.5,0,0,4.200547839995615,RS002,HIGH
6958115592991254,1,0,44,F,RS007,A09,45.23,3,3,1,6662498,2024-02-10,2024-03-15,manual,1300000,5.124998461538461,2220832.6666666665,34,4,0,0.0,5,5,0.90376814931519,0.1039442556356369,2024-03,0.5,0,0,1332499.6,0,0,4.2002148790873735,RS007,HIGH
2744218297522063,1,1,27,F,RS003,I25.1,36.15,1,4,1,1118283,2024-01-10,2024-03-18,auto,5000000,0.2236566,279570.75,68,2,0,0.0,3,3,0.8457919841544634,0.027818504538102,2024-03,0.5,0,0,372761.0,0,0,4.217898747374582,RS003,NORMAL
8088580042537141,1,1,14,M,RS009,E11,99.1,3,1,1,4792350,2024-01-09,2024-03-19,auto,2500000,1.91694,4792350.0,70,5,0,0.0,3,3,1.0155684623586911,0.1426896296875618,2024-03,5.0,0,0,1597450.0,0,0,4.197279633467612,RS009,NORMAL
0955641672780563,1,1,44,F,RS001,I10,99.04,3,4,3,532654,2024-01-01,2024-03-19,auto,2000000,0.266327,133163.5,78,5,0,0.0,7,7,1.131614360602141,0.0402792876437063,2024-03,1.0,0,0,76093.42857142857,0,0,4.185516708138293,RS001,NORMAL
7052530558642372,1,0,9,F,RS005,Z34.0,73.0,2,1,2,9485769,2024-01-23,2024-03-19,manual,800000,11.85721125,9485769.0,56,6,1,29.0,6,5,1.0680975958504708,0.1396996591002364,2024-03,0.3333333333333332,0,0,1897153.8,0,0,4.221995428937814,RS005,HIGH
3729451114764061,1,0,12,F,RS001,H25.9,13.5,2,2,0,9951337,2024-01-03,2024-03-19,manual,7500000,1.3268449333333334,4975668.5,76,3,0,0.0,7,7,1.131614360602141,0.0275508695818659,2024-03,1.0,0,0,1421619.5714285714,0,0,4.185516708138293,RS001,MEDIUM
6431099747463069,1,1,21,M,RS004,I25.1,36.15,3,2,0,4421646,2024-02-01,2024-03-20,manual,5000000,0.8843292,2210823.0,48,5,0,0.0,2,2,1.1389042610267026,0.0335492243650852,2024-03,0.0,0,0,2210823.0,0,0,4.188037474678279,RS004,NORMAL
2320546260898625,1,1,65,M,RS001,R10.4,87.09,3,4,0,3802829,2024-03-09,2024-03-21,manual,1200000,3.1690241666666665,950707.25,12,3,0,0.0,7,7,1.131614360602141,0.1326028989507415,2024-03,1.0,0,0,543261.2857142857,0,0,4.185516708138293,RS001,MEDIUM
1316035841729272,1,1,22,M,RS003,J18.9,96.04,1,4,1,779670,2024-01-30,2024-03-22,auto,4200000,0.1856357142857143,194917.5,52,1,0,0.0,3,3,0.8457919841544634,0.0930985860641282,2024-03,0.5,0,0,259890.0,0,0,4.217898747374582,RS003,NORMAL
5242892784396581,1,0,79,F,RS002,M54.5,93.39,2,2,0,2341081,2024-03-13,2024-03-22,manual,1800000,1.3006005555555555,1170540.5,9,6,0,0.0,5,5,1.0391230455674134,0.0934293473241401,2024-03,0.0,0,0,468216.2,0,0,4.200547839995615,RS002,NORMAL
8219600145167686,1,1,28,M,RS009,I10,99.04,1,3,2,4874128,2024-03-16,2024-03-22,auto,2000000,2.437064,1624709.3333333333,6,5,0,0.0,4,4,1.0155684623586911,0.1469436559492253,2024-03,5.0,0,0,1218532.0,0,0,4.197279633467612,RS009,NORMAL
3311804666529293,1,0,41,F,RS010,Z34.0,73.0,3,3,3,469467,2024-01-01,2024-03-23,manual,800000,0.58683375,156489.0,82,3,0,0.0,2,2,0.8937543008399227,0.0357502099639281,2024-03,1.0,0,0,234733.5,0,0,4.194546355512187,RS010,NORMAL
0326719475238460,1,1,60,M,RS010,J18.9,93.94,2,4,0,2138161,2024-02-26,2024-03-23,manual,4200000,0.5090859523809523,534540.25,26,2,0,0.0,2,2,0.8937543008399227,0.041703523274481,2024-03,1.0,0,0,1069080.5,0,0,4.194546355512187,RS010,NORMAL
7166026159058753,1,1,6,M,RS001,M54.5,93.39,1,1,0,3922076,2024-03-07,2024-03-23,auto,1800000,2.178931111111111,3922076.0,16,4,0,0.0,8,8,1.131614360602141,0.0981449515266171,2024-03,1.0,0,0,490259.5,0,0,4.185516708138293,RS001,NORMAL
5841584031436177,0,1,62,M,RS002,I25.1,36.15,3,1,6,6135092,2024-01-09,2024-03-23,manual,5000000,1.2270184,6135092.0,74,2,0,0.0,5,5,1.0391230455674134,0.0285421231256858,2024-03,0.0,0,0,1227018.4,0,0,4.200547839995615,RS002,MEDIUM
3677987654139401,1,1,89,F,RS009,O80,72.0,2,2,2,5634794,2024-03-16,2024-03-25,manual,3500000,1.6099411428571428,2817397.0,9,1,0,0.0,5,5,1.0155684623586911,0.0689137128129548,2024-03,5.0,0,0,1126958.8,0,0,4.197279633467612,RS009,NORMAL
8603255609643840,1,1,14,M,RS002,K21.0,45.16,3,4,1,4686285,2024-02-24,2024-03-25,manual,1400000,3.3473464285714285,1171571.25,30,5,0,0.0,5,5,1.0391230455674134,0.1208185901703513,2024-03,0.0,0,0,937257.0,0,0,4.200547839995615,RS002,MEDIUM
6088403484245749,0,0,25,F,RS006,E66.9,99.28,2,4,1,2222551,2024-03-13,2024-03-26,manual,1000000,2.222551,555637.75,13,1,0,0.0,3,3,0.9368320528657004,0.0356503852425815,2024-03,2.0,0,0,740850.3333333334,0,0,4.176435992934502,RS006,MEDIUM
