NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio,avg_cost_per_procedure,verification_delay_days,duplicate_ID_count,duplicate_ID_count_month,time_between_admissions,num_claims_last_30d_by_provider,num_unique_patients_last_30d,provider_claim_rate_vs_peer,claim_rejection_rate_provider,year_month,month_over_month_claim_growth,sudden_spike_flag,new_provider_month_flag,avg_claim_per_patient,claim_fragmentation,claim_fragmentation_score,service_mix_index
0285322132812752,1,1,27,F,RS005,J45.9,93.96,3,3,0,2006842,2024-01-13,2024-01-17,manual,2300000,0.87254,668947.3333333334,4,6,0,0.0,1,1,1.0680975958504708,0.04603666232279137,2024-01,0.0,0,1,2006842.0,0,0,4.221995428937814
7251822732631399,1,0,3,M,RS006,H25.9,13.1,1,2,0,8562782,2024-01-11,2024-01-20,auto,7500000,1.1417042666666666,4281391.0,9,4,0,0.0,1,1,0.9368320528657003,0.14874319949317427,2024-01,0.0,0,1,8562782.0,0,0,4.176435992934502
7541578413730750,0,1,70,F,RS005,R50.9,99.19,1,2,0,9024008,2024-01-10,2024-01-22,auto,1000000,9.024008,4512004.0,12,4,0,0.0,2,2,1.0680975958504708,0.10018186902083036,2024-01,0.0,0,1,4512004.0,0,0,4.221995428937814
2693409025539426,1,1,44,F,RS004,R50.9,99.19,1,3,0,1874756,2024-01-23,2024-01-26,manual,1000000,1.874756,624918.6666666666,3,5,0,0.0,1,1,1.1389042610267026,0.05086635088872482,2024-01,0.0,0,1,1874756.0,0,0,4.1880374746782785
7233946956374854,1,1,50,F,RS009,I25.1,99.24,1,1,3,9918327,2024-01-15,2024-01-27,manual,5000000,1.9836654,9918327.0,12,2,0,0.0,1,1,1.0155684623586911,0.0840939162706443,2024-01,0.0,0,1,9918327.0,0,0,4.197279633467612
9188980948286496,0,1,17,F,RS002,I25.1,36.15,1,4,4,2230173,2024-01-12,2024-01-30,auto,5000000,0.4460346,557543.25,18,3,0,0.0,1,1,1.0391230455674134,0.04728772710242615,2024-01,0.0,0,1,2230173.0,0,0,4.200547839995615
1948015858157296,1,1,60,M,RS006,Z00.0,93.99,3,2,0,2280621,2024-01-05,2024-01-31,auto,700000,3.25803,1140310.5,26,1,0,0.0,2,2,0.9368320528657003,0.02335004783936565,2024-01,0.0,0,1,1140310.5,0,0,4.176435992934502
7196613456778908,1,1,18,F,RS003,Z03.8,93.91,3,3,0,6951180,2024-01-30,2024-02-05,manual,1200000,5.79265,2317060.0,6,5,0,0.0,1,1,0.8457919841544634,0.09251184425810324,2024-02,0.0,1,1,6951180.0,0,0,4.217898747374582
2288138832112223,1,0,72,M,RS010,K29.7,45.16,1,2,2,8484967,2024-01-09,2024-02-12,manual,1700000,4.9911570588235294,4242483.5,34,3,0,0.0,1,1,0.8937543008399227,0.13891741273459585,2024-02,0.0,1,1,8484967.0,0,0,4.194546355512187
5098979179636566,0,1,12,M,RS002,N39.0,57.94,2,4,0,8984575,2024-01-24,2024-02-12,auto,2200000,4.083897727272728,2246143.75,19,3,0,0.0,2,2,1.0391230455674134,0.13674705762729278,2024-02,3.0,0,0,4492287.5,0,0,4.200547839995615
4412476244484100,1,1,4,F,RS006,N39.0,57.98,1,3,0,4579316,2024-01-11,2024-02-17,manual,2200000,2.0815072727272725,1526438.6666666667,37,5,0,0.0,3,3,0.9368320528657003,0.09845874484514573,2024-02,-0.5,0,0,1526438.6666666667,0,0,4.176435992934502
2549436835722058,1,1,28,F,RS003,N39.0,57.94,1,3,0,3167687,2024-02-14,2024-02-19,manual,2200000,1.4398577272727273,1055895.6666666667,5,4,0,0.0,2,2,0.8457919841544634,0.114984566331102,2024-02,0.0,1,1,1583843.5,0,0,4.217898747374582
4207896064408625,1,1,20,M,RS005,R50.9,99.19,2,2,2,4479099,2024-01-05,2024-02-19,auto,1000000,4.479099,2239549.5,45,4,0,0.0,3,3,1.0680975958504708,0.11657459417683208,2024-02,0.5,0,0,1493033.0,0,0,4.221995428937814
7052530558642372,1,0,9,F,RS005,Z34.0,73.0,1,3,2,6661461,2024-02-01,2024-02-19,manual,800000,8.32682625,2220487.0,18,6,0,0.0,3,3,1.0680975958504708,0.11592926113602331,2024-02,0.5,0,0,2220487.0,0,0,4.221995428937814
